interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,1/25/2019,12:24:00,Female,22,Senior,LA Area,6+,Female,61,Other,Rest of California,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Male,20,Senior,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Close friend,Once a week,Female,22,Senior,LA Area,Close friend,Once a week
1,1/24/2019,10:30:00,Female,19,Sophomore,Rest of United States,5,Female,30,Other,Rest of United States,Close friend,More than once a week,Female,57,Other,Rest of World,Close friend,More than once a week,Male,59,Other,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,19,Sophomore,Rest of United States,Close friend,More than once a week
2,1/25/2019,10:30:00,Male,20,Junior,Bay Area,5,Male,21,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,21,Junior,Bay Area,Close friend,Once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,Once a week
3,1/25/2019,12:00:00,Male,21,Junior,Bay Area,5,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Junior,Bay Area,Close friend,Once a month,Female,25,Other,Bay Area,Close friend,Once a month
3,1/26/2019,09:40:00,Female,21,Senior,Bay Area,5,Male,50,Other,Bay Area,Close friend,More than once a week,Female,45,Other,Bay Area,Close friend,More than once a week,Female,15,Other,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Friend,Once a month,Female,21,Senior,Bay Area,Friend,Once a month
1,1/24/2019,10:35:00,Male,21,Junior,Rest of United States,5,Male,21,Junior,Rest of United States,Close friend,Once a month,Male,52,Other,Rest of United States,Close friend,Once a month,Male,21,Junior,Rest of United States,Close friend,Once a month,Male,21,Junior,Rest of United States,Close friend,Once a month,Male,21,Junior,Rest of United States,Close friend,More than once a week
3,1/24/2019,18:20:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,Once a month,Female,20,Junior,Bay Area,Close friend,Once a month,Female,20,Junior,LA Area,Close friend,Once a month,Female,20,Junior,Bay Area,Close friend,Once a week,Female,20,Junior,Bay Area,Close friend,Once a week
3,1/26/2019,13:06:00,Female,20,Junior,Bay Area,6+,Male,21,Junior,LA Area,Close friend,More than once a week,Female,19,Sophomore,Rest of United States,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Male,23,Other,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week
1,1/24/2019,10:35:00,Male,20,Junior,Bay Area,5,Female,20,Senior,Rest of California,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Male,21,Junior,Rest of California,Close friend,More than once a week,Male,18,Sophomore,Rest of California,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,More than once a week
2,1/26/2019,04:38:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,Once a month,Female,20,Junior,Bay Area,Close friend,Once a month,Female,21,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,Once a week
